Item,Condition,Percent
41,Uniform1,40
41,Uniform2,80
42,Eonly,37.5
42,Eonlystrong,80
42,ESI,7.5
42,Estrong,51.28205128
42,Eweak,14.28571429
42,Uniform1,40
42,Uniform2,80
43,Eonly,92.5
43,Eonlystrong,100
43,ESI,72.5
43,Estrong,90.47619048
43,Eweak,74.35897436
43,Uniform1,40
43,Uniform2,80
44,Eonly,87.5
44,Eonlystrong,100
44,ESI,82.5
44,Estrong,92.30769231
44,Eweak,64.28571429
44,Uniform1,40
44,Uniform2,80
45,Eonly,47.5
45,Eonlystrong,72.5
45,ESI,17.5
45,Estrong,21.42857143
45,Eweak,12.82051282
45,Uniform1,40
45,Uniform2,80
46,Eonly,47.5
46,Eonlystrong,72.5
46,ESI,10
46,Estrong,5.128205128
46,Eweak,9.523809524
46,Uniform1,40
46,Uniform2,80
47,Eonly,90
47,Eonlystrong,97.5
47,ESI,92.5
47,Estrong,85.71428571
47,Eweak,79.48717949
47,Uniform1,40
47,Uniform2,80
48,Eonly,72.5
48,Eonlystrong,95
48,ESI,27.5
48,Estrong,76.92307692
48,Eweak,21.42857143
48,Uniform1,40
48,Uniform2,80
49,Eonly,75
49,Eonlystrong,97.5
49,ESI,25
49,Estrong,69.04761905
49,Eweak,28.20512821
49,Uniform1,40
49,Uniform2,80
50,Eonly,55
50,Eonlystrong,77.5
50,ESI,2.5
50,Estrong,28.20512821
50,Eweak,7.142857143
50,Uniform1,40
50,Uniform2,80
51,Eonly,80
51,Eonlystrong,100
51,ESI,65
51,Estrong,80.95238095
51,Eweak,69.23076923
51,Uniform1,40
51,Uniform2,80
52,Eonly,82.5
52,Eonlystrong,92.5
52,ESI,77.5
52,Estrong,92.30769231
52,Eweak,28.57142857
52,Uniform1,40
52,Uniform2,80
53,Eonly,40
53,Eonlystrong,77.5
53,ESI,5
53,Estrong,14.28571429
53,Eweak,2.564102564
53,Uniform1,40
53,Uniform2,80
54,Eonly,67.5
54,Eonlystrong,87.5
54,ESI,10
54,Estrong,58.97435897
54,Eweak,23.80952381
54,Uniform1,40
54,Uniform2,80
55,Eonly,60
55,Eonlystrong,82.5
55,ESI,5
56,Estrong,16.66666667
56,Eweak,2.564102564
56,Uniform1,40
56,Uniform2,80
56,Eonly,72.5
56,Eonlystrong,85
56,ESI,65
56,Estrong,84.61538462
56,Eweak,59.52380952
56,Uniform1,40
56,Uniform2,80
57,Eonly,47.5
57,Eonlystrong,85
57,ESI,15
57,Estrong,59.52380952
57,Eweak,7.692307692
57,Uniform1,40
57,Uniform2,80
58,Eonly,82.5
58,Eonlystrong,100
58,ESI,40
58,Estrong,71.79487179
58,Eweak,45.23809524
58,Uniform1,40
58,Uniform2,80
59,Eonly,82.5
59,Eonlystrong,90
59,ESI,12.5
59,Estrong,54.76190476
59,Eweak,12.82051282
59,Uniform1,40
59,Uniform2,80
60,Eonly,67.5
60,Eonlystrong,87.5
60,ESI,7.5
60,Estrong,56.41025641
60,Eweak,23.80952381
60,Uniform1,40
60,Uniform2,80
