logprob_quintile,n,mean_target_logprob,min_target_logprob,max_target_logprob,mean_human_si_rate,sem_human_si_rate
Q1,62,-8.164226658198388,-15.2010030858,-6.3080671132,0.37199939627419354,0.03416696546760841
Q2,62,-5.441211473619354,-6.2682337761,-4.6910934448,0.31208306467741936,0.027684121236330593
Q3,61,-4.056800546413115,-4.6895895004,-3.4686694145,0.42785992786885246,0.03455144408149292
Q4,62,-2.816583433898387,-3.4657721519,-2.0779759884,0.38730598006451616,0.0353414112742211
Q5,62,-1.188883351979032,-2.0527508259,-0.0847003013,0.4933633486451613,0.03275550679655246
