predictor,controls,slope,bootstrap_ci_low,bootstrap_ci_high,r2
target_logprob,none,0.017939830795514353,0.006222661868604163,0.029811228951462303,0.029066404592366646
target_prob,none,0.4388443789183676,0.2671851497473208,0.6010181546013347,0.06443177659751598
target_logprob,dataset,0.018106589409111785,0.0066376746363321455,0.02990817553624889,0.048794845706391476
target_prob,dataset,0.4264150656299523,0.2537456081267994,0.5865077648068754,0.08014354718950767
target_logprob,dataset+pos,0.01267255543115138,0.0005616892475366532,0.02427841693851195,0.15369027629087817
target_prob,dataset+pos,0.3459092065111775,0.15570564420587657,0.5075808639749985,0.1766453398337826
target_logprob,dataset+pos+target_n_tokens,0.010880360773029419,-0.0019269003519333005,0.023067812303734447,0.16043342492229717
target_prob,dataset+pos+target_n_tokens,0.3250507995413101,0.1238198819974928,0.4924409266924918,0.18232243939486426
